2025-02-02 08:15:20.872 | INFO     | mav_scraper.slender.slender:info:39 - Replacing previously stored schedule for train_number=5560, elvira_id=8008341_250202 with the newer version.
2025-02-02 08:15:21.156 | INFO     | mav_scraper.slender.slender:info:39 - Replacing previously stored schedule for train_number=556002, elvira_id=7622896_250202 with the newer version.
2025-02-02 08:15:21.453 | INFO     | mav_scraper.slender.slender:info:39 - Replacing previously stored schedule for train_number=556007, elvira_id=7623005_250202 with the newer version.
2025-02-02 08:15:21.750 | INFO     | mav_scraper.slender.slender:info:39 - Replacing previously stored schedule for train_number=556072, elvira_id=7622899_250202 with the newer version.
2025-02-02 08:15:22.034 | INFO     | mav_scraper.slender.slender:info:39 - Replacing previously stored schedule for train_number=556077, elvira_id=7623080_250202 with the newer version.
2025-02-02 08:15:22.319 | INFO     | mav_scraper.slender.slender:info:39 - Replacing previously stored schedule for train_number=556090, elvira_id=7622868_250202 with the newer version.
2025-02-02 08:15:22.612 | INFO     | mav_scraper.slender.slender:info:39 - Replacing previously stored schedule for train_number=556139, elvira_id=7622998_250202 with the newer version.
2025-02-02 08:15:22.893 | INFO     | mav_scraper.slender.slender:info:39 - Replacing previously stored schedule for train_number=556150, elvira_id=7622882_250202 with the newer version.
2025-02-02 08:15:23.180 | INFO     | mav_scraper.slender.slender:info:39 - Replacing previously stored schedule for train_number=55617, elvira_id=7623086_250202 with the newer version.
2025-02-02 08:15:23.466 | INFO     | mav_scraper.slender.slender:info:39 - Replacing previously stored schedule for train_number=55619, elvira_id=7623002_250202 with the newer version.
2025-02-02 08:15:23.756 | INFO     | mav_scraper.slender.slender:info:39 - Replacing previously stored schedule for train_number=556212, elvira_id=7622885_250202 with the newer version.
2025-02-02 08:15:24.039 | INFO     | mav_scraper.slender.slender:info:39 - Replacing previously stored schedule for train_number=556217, elvira_id=7623082_250202 with the newer version.
2025-02-02 08:15:24.335 | INFO     | mav_scraper.slender.slender:info:39 - Replacing previously stored schedule for train_number=556227, elvira_id=7623085_250202 with the newer version.
2025-02-02 08:15:24.625 | INFO     | mav_scraper.slender.slender:info:39 - Replacing previously stored schedule for train_number=556347, elvira_id=7621421_250202 with the newer version.
